team,match_up,game_date,w_l,min,pts,fgm,fga,fgp,tpm,tpa,tpp,ftm,fta,ftp,oreb,dreb,reb,ast,stl,blk,tov,pf,p_m,offrtg,derftg,netrtg,astp,astto,astr,orebp,drebp,rebp,tovp,efgp,tsp,pace,pie
SAC,SAC vs. LAL,44573,W,240,125,49,89,55.1,11,30,36.7,16,19,84.2,8,37,45,28,8,7,13,20,9,125,116,9,57.1,2.15,20,28.6,66.7,51,13,61.2,64.2,100,57.9
SAC,SAC vs. CLE,44571,L,240,108,39,91,42.9,14,30,46.7,16,22,72.7,15,28,43,20,10,3,12,16,-1,111.3,114.7,-3.4,51.3,1.67,14.6,36.4,65.9,49.5,12.4,50.5,53.6,96,45.2
SAC,SAC @ POR,44570,L,240,88,33,85,38.8,7,31,22.6,15,21,71.4,8,38,46,20,8,5,12,17,-15,88.9,104,-15.2,60.6,1.67,15.6,18.5,73.6,45.8,12.1,42.9,46.7,99,45.9
SAC,SAC @ DEN,44568,L,240,111,40,92,43.5,11,29,37.9,20,24,83.3,12,35,47,21,6,3,12,19,-10,111,119.8,-8.8,52.5,1.75,15.3,29.6,87.8,54.7,12,49.5,54.1,100.5,42.8
SAC,SAC vs. ATL,44566,L,240,102,38,90,42.2,11,27,40.7,15,20,75,10,37,47,15,6,1,11,20,-6,102,109.1,-7.1,39.5,1.36,11.8,22.2,76.5,48.6,11,48.3,51.6,99.5,43.1
SAC,SAC @ LAL,44565,L,240,114,43,83,51.8,14,34,41.2,14,18,77.8,9,36,45,31,2,3,18,18,-8,115.2,123.2,-8.1,72.1,1.72,22,26.2,68.5,50,18.2,60.2,62.7,99,49
SAC,SAC vs. MIA,44563,W,240,115,40,78,51.3,13,34,38.2,22,27,81.5,7,32,39,31,3,2,16,18,2,118.6,115.3,3.3,77.5,1.94,22.6,22.5,59.3,44.4,16.5,59.6,64,97.5,52.4
SAC,SAC vs. DAL,44561,L,240,96,38,91,41.8,10,29,34.5,10,12,83.3,8,25,33,25,7,4,10,16,-16,101.1,119.1,-18.1,65.8,2.5,18.9,24.5,71.8,44.6,10.5,47.3,49.9,94.5,38.7
SAC,SAC vs. DAL,44559,W,240,95,36,75,48,10,26,38.5,13,15,86.7,7,31,38,21,5,2,15,21,1,105.6,104.4,1.1,58.3,1.4,17.6,20,73.3,48.2,16.7,54.7,58.2,90,49.8
SAC,SAC vs. OKC,44558,W,240,117,40,95,42.1,17,39,43.6,20,27,74.1,11,46,57,25,3,9,10,22,6,110.4,105.7,4.7,62.5,2.5,17.2,25,82.8,54.4,9.4,51.1,54.7,105.5,55.4
SAC,SAC vs. MEM,44556,L,240,102,34,81,42,10,29,34.5,24,27,88.9,9,29,38,22,7,9,18,23,-25,102,125.7,-23.7,64.7,1.22,16.5,25,55.4,41.3,18,48.1,54.9,100.5,38
SAC,SAC vs. LAC,44552,L,240,89,34,85,40,12,38,31.6,9,12,75,7,33,40,24,7,5,19,15,-16,92.7,109.4,-16.7,70.6,1.26,18,24.5,80.5,48.9,19.8,47.1,49.3,96,38.7
SAC,SAC @ GSW,44550,L,240,98,37,83,44.6,13,32,40.6,11,16,68.8,6,31,37,23,10,3,21,9,-15,100,115.3,-15.3,62.2,1.1,16.9,30.6,74.4,51.1,21.4,52.4,54.4,98,42.5
SAC,SAC vs. SAS,44549,W,240,121,46,91,50.5,14,25,56,15,18,83.3,11,29,40,23,11,3,12,19,7,124.7,117.5,7.2,50,1.92,17.2,32.6,65.2,48.9,12.4,58.2,61.2,97,49.7
SAC,SAC vs. MEM,44547,L,240,105,36,88,40.9,13,35,37.1,20,26,76.9,10,35,45,21,5,6,18,20,-19,99.1,118.1,-19,58.3,1.17,15,27.3,67.3,47.3,17,48.3,52.8,105.5,40.7
SAC,SAC vs. WAS,44545,W,240,119,45,82,54.9,8,26,30.8,21,29,72.4,6,33,39,25,7,6,11,21,14,121.4,105,16.4,55.6,2.27,19.2,17.1,75,48.3,11.2,59.8,62.8,99,57.1
SAC,SAC @ TOR,44543,L,240,101,38,94,40.4,11,34,32.4,14,21,66.7,19,34,53,21,5,4,17,16,-23,100,124,-24,55.3,1.24,14.7,34.4,72.9,51.4,16.8,46.3,48.9,100.5,36.9
SAC,SAC @ CLE,44541,L,240,103,41,93,44.1,7,28,25,14,22,63.6,11,37,48,19,8,6,17,21,-14,96.3,109.3,-13.1,46.3,1.12,13.8,23.2,81.6,50.5,15.9,47.8,50.2,107,40.6
SAC,SAC @ CHA,44540,L,240,123,48,101,47.5,14,41,34.1,13,17,76.5,20,28,48,22,11,4,14,20,-1,121.8,125.3,-3.5,45.8,1.57,15.1,43.6,70.7,55.2,13.9,54.5,56.7,100,47
SAC,SAC vs. ORL,44538,W,240,142,53,97,54.6,15,34,44.1,21,25,84,12,31,43,24,8,7,8,22,12,140.6,128.7,11.9,45.3,3,17,37.8,62.7,51,7.9,62.4,65.7,101,54.7
SAC,SAC vs. LAC,44534,W,240,104,36,86,41.9,12,34,35.3,20,25,80,11,40,51,19,8,8,17,25,5,101,97.1,3.9,52.8,1.12,14,26.4,71.2,50,16.5,48.8,53.6,102.5,55.5
SAC,SAC @ LAC,44531,W,240,124,46,88,52.3,15,38,39.5,17,20,85,7,31,38,28,8,1,12,16,9,122.8,115,7.8,60.9,2.33,20.1,23.3,63.6,45.9,11.9,60.8,64,100.5,51.2
SAC,SAC vs. LAL,44530,L,240,92,35,79,44.3,6,29,20.7,16,22,72.7,9,31,40,22,11,4,20,21,-25,93.9,120.6,-26.7,62.9,1.1,16.8,22.4,66,44.4,20.4,48.1,51.9,97.5,40.3
SAC,SAC @ MEM,44528,L,240,101,33,97,34,9,42,21.4,26,37,70.3,12,37,49,17,5,8,8,18,-27,95.3,119.6,-24.3,51.5,2.13,12.1,23.9,69.1,43.7,7.5,38.7,44.6,106.5,33.9
SAC,SAC @ LAL,44526,W,315,141,54,120,45,14,45,31.1,19,29,65.5,16,40,56,32,11,4,15,26,4,113.7,108.7,5,59.3,2.13,17.7,35.7,78.2,54.4,12.1,50.8,53.1,95.24,48.9
SAC,SAC vs. POR,44524,W,240,125,45,86,52.3,12,33,36.4,23,34,67.6,14,29,43,21,4,4,14,21,4,123.8,118.6,5.1,46.7,1.5,15.3,32.6,66.7,50.5,13.9,59.3,61.9,101.5,50.5
SAC,SAC vs. PHI,44522,L,240,94,33,80,41.3,7,31,22.6,21,29,72.4,11,38,49,17,4,0,14,19,-8,101.1,109.7,-8.6,51.5,1.21,13.5,32,73.1,52.9,15.1,45.6,50.7,93,43.8
SAC,SAC vs. UTA,44520,L,240,105,41,91,45.1,10,31,32.3,13,21,61.9,8,27,35,20,8,5,8,14,-18,109.4,125.5,-16.1,48.8,2.5,15.7,20.8,63,40.4,8.3,50.5,52.4,97,42.5
SAC,SAC vs. TOR,44519,L,240,89,32,84,38.1,9,37,24.3,16,25,64,11,29,40,15,8,4,15,18,-19,93.7,113.7,-20,46.9,1,11.9,27.6,62.5,43.4,15.8,43.5,46.8,95,36
SAC,SAC @ MIN,44517,L,240,97,34,93,36.6,10,38,26.3,19,25,76,20,27,47,19,7,3,20,22,-10,102.1,111.5,-9.4,55.9,0.95,13.1,50,67.4,57.1,21.1,41.9,46.6,95.5,39.1
SAC,SAC @ DET,44515,W,240,129,52,98,53.1,16,33,48.5,9,11,81.8,11,36,47,32,11,5,14,17,22,126.5,103.9,22.6,61.5,2.29,21.5,31.9,63.2,49,13.7,61.2,62.7,102.5,60.1
SAC,SAC @ OKC,44512,L,240,103,38,95,40,14,41,34.1,13,17,76.5,11,38,49,20,5,7,14,12,-2,104,106.1,-2,52.6,1.43,14.6,32.2,69,50.4,14.1,47.4,50.3,99,51.2
SAC,SAC @ SAS,44510,L,240,117,47,91,51.6,10,36,27.8,13,16,81.3,11,33,44,20,4,6,15,26,-19,113.6,132,-18.4,42.6,1.33,14.9,26.7,69.4,48.9,14.6,57.1,59.7,103,40
SAC,SAC vs. PHX,44508,L,240,104,37,82,45.1,10,24,41.7,20,26,76.9,8,38,46,18,6,6,24,18,-5,99,103.8,-4.8,48.6,0.75,13.2,27.7,80,54.6,22.9,51.2,55.7,105,43.5
SAC,SAC vs. IND,44507,L,240,91,31,84,36.9,10,34,29.4,19,22,86.4,8,25,33,20,14,6,12,18,-3,95.8,96.9,-1.1,64.5,1.67,15.9,20.4,59.6,38.6,12.6,42.9,48.6,96,50
SAC,SAC vs. CHA,44505,W,240,140,48,87,55.2,22,44,50,22,26,84.6,13,43,56,29,5,1,18,21,30,135.9,105.8,30.2,60.4,1.61,19.9,35.9,81.5,62.4,17.5,67.8,71.1,103.5,61.7
SAC,SAC vs. NOP,44503,W,240,112,42,80,52.5,10,30,33.3,18,22,81.8,4,33,37,27,8,7,8,21,13,116.7,103.1,13.5,64.3,3.38,21.3,10.5,70,44.3,8.3,58.8,62.4,96,59.6
SAC,SAC @ UTA,44502,L,240,113,42,93,45.2,12,31,38.7,17,24,70.8,6,32,38,24,8,8,11,24,-6,107.6,114.4,-6.8,57.1,2.18,17.4,21.1,58.6,40,10.5,51.6,54.6,104.5,49.3
SAC,SAC @ DAL,44500,L,240,99,38,96,39.6,7,36,19.4,16,20,80,17,39,56,20,6,3,13,19,-6,102.1,108.2,-6.2,52.6,1.54,14.4,36.7,74.1,54.4,13.4,43.2,47.2,97,46.5
SAC,SAC @ NOP,44498,W,240,113,40,80,50,9,27,33.3,24,25,96,3,42,45,19,4,5,14,20,4,111.9,107.9,4,47.5,1.36,15.2,12.2,69.8,47.1,13.9,55.6,62.1,101,55.9
SAC,SAC @ PHX,44496,W,240,110,42,95,44.2,15,38,39.5,11,15,73.3,8,32,40,28,7,6,12,20,3,110,104.9,5.1,66.7,2.33,19.9,23.2,67.3,44.4,12,52.1,54.1,101,48
SAC,SAC vs. GSW,44493,L,240,107,42,86,48.8,15,46,32.6,8,13,61.5,10,37,47,26,0,4,19,16,-12,105.9,119,-13.1,61.9,1.37,18.7,27.7,70.9,51,18.8,57.6,58.3,100.5,44.4
SAC,SAC vs. UTA,44491,L,240,101,39,99,39.4,8,36,22.2,15,21,71.4,16,36,52,20,15,5,15,22,-9,98.1,106.8,-8.7,51.3,1.33,14,34.4,66.7,49.6,14.6,43.4,46.7,103,45.8
SAC,SAC @ POR,44489,W,240,124,42,92,45.7,17,41,41.5,23,29,79.3,7,36,43,24,6,4,10,22,3,117,114.2,2.8,57.1,2.4,17,20.4,75.5,46.6,9.4,54.9,59.2,106,49
POR,POR vs. UTA,44661,L,240,80,31,83,37.3,9,34,26.5,9,12,75,5,27,32,21,11,8,16,27,-31,81.6,112.1,-30.5,67.7,1.31,16.7,13.2,58,35,16.3,42.8,45.3,98.5,30.3
POR,POR @ DAL,44659,L,240,78,31,83,37.3,7,32,21.9,9,12,75,5,24,29,20,9,2,17,23,-50,81.3,128,-46.8,64.5,1.18,16,16.7,67.5,38.3,17.7,41.6,44.2,98,22.9
POR,POR @ NOP,44658,L,240,94,36,69,52.2,11,31,35.5,11,13,84.6,3,24,27,28,10,4,22,27,-33,101.1,135.1,-34,77.8,1.27,22.2,15.2,47.1,34.5,23.7,60.1,62.9,93.5,36.6
POR,POR @ OKC,44656,L,240,94,35,83,42.2,11,32,34.4,13,16,81.3,10,30,40,24,10,6,17,19,-4,96.9,101,-4.1,68.6,1.41,18,26.5,70.2,47.9,17.5,48.8,52.2,97,46.3
POR,POR @ SAS,44654,L,240,92,33,84,39.3,16,45,35.6,10,15,66.7,7,32,39,22,7,4,14,22,-21,96.8,115.3,-18.5,66.7,1.57,17.2,20.8,66,42.7,14.7,48.8,50.8,96.5,37.8
POR,POR @ SAS,44652,L,240,111,41,92,44.6,15,35,42.9,14,20,70,12,30,42,27,12,2,12,20,-19,112.1,131.3,-19.2,65.9,2.25,19.1,30.2,78,51.1,12.1,52.7,55.1,99,40.5
POR,POR vs. NOP,44650,L,240,107,39,85,45.9,14,42,33.3,15,18,83.3,13,28,41,30,7,4,22,27,-10,108.1,118.2,-10.1,76.9,1.36,20.7,37,70.7,52.9,22.2,54.1,57.6,99,40.7
POR,POR vs. OKC,44648,L,265,131,51,112,45.5,20,50,40,9,13,69.2,19,28,47,28,17,5,11,23,-3,120.2,126.4,-6.2,54.9,2.55,17.6,38.1,66,50,10.1,54.5,55.6,97.36,46.8
POR,POR vs. HOU,44646,L,240,98,37,93,39.8,12,40,30,12,17,70.6,21,30,51,21,14,4,23,19,-17,99,116.2,-17.2,56.8,0.91,14.4,44.8,70.5,55.9,23.2,46.2,48.8,99,38.1
POR,POR vs. HOU,44645,L,240,106,43,85,50.6,3,20,15,17,23,73.9,13,25,38,28,6,3,17,21,-19,109.3,127.6,-18.3,65.1,1.65,20,32.6,71.4,51.1,17.5,52.4,55.7,97.5,42.6
POR,POR vs. SAS,44643,L,240,96,36,94,38.3,7,26,26.9,17,18,94.4,12,31,43,18,5,5,18,21,-37,94.1,131.7,-37.6,50,1,13.1,32.2,64,46.8,17.6,42,47.1,101.5,28.8
POR,POR @ DET,44641,W,240,119,37,88,42,8,28,28.6,37,49,75.5,17,30,47,22,15,7,9,26,4,115.5,112.7,2.8,59.5,2.44,15.2,35.1,58.5,46.4,8.7,46.6,54.3,102.5,55.7
POR,POR @ IND,44640,L,240,98,38,81,46.9,9,33,27.3,13,18,72.2,10,22,32,23,10,3,18,19,-31,102.1,135.8,-33.7,60.5,1.28,17.4,27.7,63.2,43.5,18.8,52.5,55.1,95.5,34.8
POR,POR @ BKN,44638,L,240,123,48,96,50,13,35,37.1,14,24,58.3,17,20,37,29,14,4,14,26,-5,123,129.3,-6.3,60.4,2.07,19.6,37,60,46.1,14,56.8,57.7,99.5,45.2
POR,POR @ NYK,44636,L,240,98,40,91,44,11,34,32.4,7,14,50,10,31,41,26,1,3,12,31,-30,100,129.3,-29.3,65,2.17,19.1,21.8,70.5,43.4,12.2,50,50.4,98.5,30.1
POR,POR @ ATL,44634,L,240,113,44,88,50,10,24,41.7,15,21,71.4,11,45,56,25,4,9,21,25,-9,107.6,115.1,-7.5,56.8,1.19,17.4,29.2,65.7,50.8,20,55.7,58.1,105.5,46.4
POR,POR vs. WAS,44632,W,240,127,48,93,51.6,11,30,36.7,20,22,90.9,12,31,43,21,10,3,11,21,9,128.3,119.2,9.1,43.8,1.91,15.7,33.3,71.1,52.2,11.1,57.5,61.8,99,51.8
POR,POR @ UTA,44629,L,240,85,29,89,32.6,9,36,25,18,22,81.8,9,27,36,19,4,2,10,23,-38,89.5,128.1,-38.7,65.5,1.9,14.8,24.2,75,44.1,10.5,37.6,43.1,95.5,25
POR,POR @ MIN,44627,L,240,81,23,83,27.7,7,28,25,28,38,73.7,8,34,42,11,10,5,18,30,-43,72.3,112.7,-40.4,47.8,0.61,8.2,17.5,60.3,38,16.1,31.9,40.6,111,18.6
POR,POR @ MIN,44625,L,240,121,40,85,47.1,16,38,42.1,25,30,83.3,11,30,41,24,5,1,16,23,-14,123.5,136.4,-12.9,60,1.5,17.8,28.6,78,51.1,16.3,56.5,61.6,98.5,39.6
POR,POR @ PHX,44622,L,240,90,30,78,38.5,11,31,35.5,19,25,76,5,30,35,22,10,2,19,23,-30,90,120,-30,73.3,1.16,16.7,19.6,75,45.3,19,45.5,50.6,100,31.5
POR,POR vs. DEN,44619,L,240,92,34,91,37.4,6,36,16.7,18,26,69.2,11,31,42,22,12,3,15,25,-32,88.5,117,-28.5,64.7,1.47,15.8,21,71.1,42.1,14.4,40.7,44.9,105,31.1
POR,POR vs. GSW,44616,L,240,95,31,79,39.2,9,35,25.7,24,29,82.8,6,25,31,16,5,4,18,29,-37,96.9,132,-35.1,51.6,0.89,12.7,23.5,60,40.6,18.4,44.9,51.8,99,24.8
POR,POR @ MEM,44608,W,240,123,43,85,50.6,13,32,40.6,24,32,75,13,30,43,23,6,5,12,27,4,126.8,124,2.8,53.5,1.92,17,35.6,64.7,51,12.4,58.2,62.1,96.5,51.9
POR,POR @ MIL,44606,W,240,122,45,99,45.5,18,43,41.9,14,19,73.7,14,44,58,30,8,6,14,19,15,115.1,100,15.1,66.7,2.14,19.7,28.6,83.6,55.9,13.2,54.5,56.8,106.5,58.5
POR,POR vs. NYK,44604,W,240,112,40,84,47.6,15,40,37.5,17,20,85,9,42,51,29,3,2,17,26,9,112,104,8,72.5,1.71,20.9,26.1,81.1,55.6,17,56.5,60.3,99.5,57.3
POR,POR vs. LAL,44601,W,240,107,42,89,47.2,10,32,31.3,13,16,81.3,11,30,41,26,15,3,11,15,2,110.3,108.2,2.1,61.9,2.36,19.3,25,83.3,50,11.3,52.8,55.7,97,50.9
POR,POR vs. ORL,44600,L,240,95,32,91,35.2,11,38,28.9,20,26,76.9,17,33,50,21,9,5,13,12,-18,96,115.3,-19.3,65.6,1.62,15.2,30.6,75,50,13.1,41.2,46.4,98.5,39.2
POR,POR vs. MIL,44597,L,240,108,41,85,48.2,14,45,31.1,12,21,57.1,9,29,38,25,6,6,16,18,-29,108,134.3,-26.3,61,1.56,18.7,19.1,70.8,45.3,16,56.5,57.3,101,37.6
POR,POR vs. OKC,44596,L,240,93,40,101,39.6,6,33,18.2,7,10,70,17,36,53,18,7,4,12,18,-3,93.9,99,-5,45,1.5,13.1,33.3,72.7,51.7,12.1,42.6,44.1,98,46.7
POR,POR @ LAL,44594,L,240,94,35,98,35.7,14,42,33.3,10,19,52.6,18,37,55,23,11,3,13,28,-5,94.9,101,-6.1,65.7,1.77,16.1,32.8,75,51.3,13.1,42.9,44.2,98.5,40.6
POR,POR @ OKC,44592,L,240,81,34,81,42,7,38,18.4,6,8,75,6,35,41,18,7,6,15,20,-17,86.2,104.3,-18.1,52.9,1.2,15.3,12.8,71.2,43.4,16,46.3,47.9,94,40.1
POR,POR @ CHI,44591,L,240,116,43,83,51.8,18,39,46.2,12,16,75,5,31,36,23,4,3,12,12,-14,119.6,134,-14.4,53.5,1.92,18.1,16.3,80.5,47.6,12.4,62.7,64.4,97,41.7
POR,POR @ HOU,44589,W,240,125,46,81,56.8,17,39,43.6,16,20,80,4,30,34,20,10,4,15,24,15,122.5,107.8,14.7,43.5,1.33,15.9,10.3,76.7,45.1,14.7,67.3,69.6,102,55.5
POR,POR vs. DAL,44587,L,240,112,42,82,51.2,14,38,36.8,14,23,60.9,3,35,38,27,4,1,9,21,-20,115.5,133.3,-17.9,64.3,3,20.9,10.9,80,45.1,9.3,59.8,60.8,98,41.6
POR,POR vs. MIN,44586,L,240,107,37,94,39.4,16,41,39,17,20,85,15,35,50,26,4,2,14,24,-2,104.9,107.9,-3,70.3,1.86,17.8,31,74,50.9,13.7,47.9,52,101.5,46.1
POR,POR @ TOR,44584,W,240,114,45,85,52.9,18,32,56.3,6,13,46.2,10,37,47,31,8,7,22,17,9,114,105,9,68.9,1.41,21.4,31.8,63.9,50.5,22,63.5,62.8,100,55.7
POR,POR @ BOS,44582,W,240,109,36,76,47.4,16,33,48.5,21,30,70,7,35,42,20,6,4,13,21,4,116,110.5,5.4,55.6,1.54,16.4,19,77.1,50,13.8,57.9,61.1,94.5,49.5
POR,POR @ MIA,44580,L,240,92,33,81,40.7,14,46,30.4,12,16,75,10,33,43,19,7,6,18,22,-12,95.8,110.6,-14.8,57.6,1.06,14.7,28,74.5,50.5,18.8,49.4,52.2,95,40
POR,POR @ ORL,44578,W,240,98,37,90,41.1,7,34,20.6,17,18,94.4,11,44,55,20,9,8,17,17,10,96.1,86.3,9.8,54.1,1.18,14.8,24.1,75,50.9,16.7,45,50,102,56.4
POR,POR @ WAS,44576,W,240,115,39,85,45.9,13,39,33.3,24,35,68.6,8,31,39,19,13,2,13,25,5,109.5,105.8,3.8,48.7,1.46,14,23.1,69.2,46.2,12.4,53.5,57.3,104.5,54.5
POR,POR @ DEN,44574,L,240,108,39,86,45.3,13,40,32.5,17,28,60.7,11,23,34,28,11,5,15,18,-32,106.9,138.6,-31.7,71.8,1.87,19.7,25,75.8,44.7,14.9,52.9,54.9,101,37.7
POR,POR vs. BKN,44571,W,240,114,40,86,46.5,15,38,39.5,19,26,73.1,11,36,47,23,8,9,15,17,6,115.2,110.2,4.9,57.5,1.53,16.8,34.7,70.6,53,15.2,55.2,58.5,98.5,54.1
POR,POR vs. SAC,44570,W,240,103,37,88,42,17,40,42.5,12,15,80,10,38,48,26,6,5,17,23,15,104,88.9,15.2,70.3,1.53,19,26.4,81.5,54.2,17.2,51.7,54.4,99,54.1
POR,POR vs. CLE,44568,L,240,101,37,92,40.2,16,35,45.7,11,19,57.9,16,35,51,22,8,5,12,19,-13,108.6,122.6,-14,59.5,1.83,16.1,36.7,76.1,53.8,12.9,48.9,50.3,93,43.2
POR,POR vs. MIA,44566,L,240,109,33,78,42.3,15,38,39.5,28,36,77.8,8,28,36,18,8,4,6,23,-6,121.1,126.4,-5.3,54.5,3,15.3,22.4,62.5,42.3,6.7,51.9,58.1,90.5,44.7
POR,POR vs. ATL,44564,W,240,136,47,89,52.8,18,41,43.9,24,28,85.7,12,29,41,29,10,3,10,19,5,137.4,132.3,5.1,61.7,2.9,20.4,31.8,71.4,51.2,10.1,62.9,67.1,99,52.6
POR,POR @ LAL,44561,L,240,106,36,102,35.3,12,42,28.6,22,27,81.5,21,33,54,19,4,2,9,22,-33,106,139,-33,52.8,2.11,13.2,36.8,85,54.6,9,41.2,46.5,100,32.1
POR,POR vs. UTA,44559,L,240,105,37,88,42,14,40,35,17,24,70.8,11,34,45,23,6,3,11,28,-15,108.2,125,-16.8,62.2,2.09,16.9,29.6,69.4,48.5,11.3,50,53.3,96.5,42.6
POR,POR vs. DAL,44557,L,240,117,35,82,42.7,12,40,30,35,42,83.3,8,25,33,19,4,5,11,28,-15,119.4,136.1,-16.7,54.3,1.73,14.6,29.4,63.4,44.6,11.2,50,58.2,97.5,38.6
POR,POR @ NOP,44551,L,240,97,35,78,44.9,13,34,38.2,14,19,73.7,7,24,31,18,12,4,11,17,-14,104.3,122,-17.7,51.4,1.64,15,19.1,69.2,41.9,11.8,53.2,56.2,92,42.6
POR,POR @ MEM,44549,W,240,105,35,74,47.3,11,32,34.4,24,28,85.7,9,42,51,17,4,9,25,18,5,111.7,104.2,7.5,48.6,0.68,13.5,37.5,71.2,57.6,26.6,54.7,60.8,95,54.7
POR,POR vs. CHA,44547,W,240,125,44,85,51.8,21,47,44.7,16,18,88.9,7,34,41,27,7,6,17,20,9,125,117.2,7.8,61.4,1.59,19.3,33.3,70,53.3,17,64.1,67.3,99.5,53.2
POR,POR vs. MEM,44545,L,240,103,31,82,37.8,15,38,39.5,26,28,92.9,5,33,38,18,9,6,15,21,-10,102,111.9,-9.9,58.1,1.2,14.1,17.3,72.9,44,14.9,47,54.6,101,42.2
POR,POR vs. PHX,44544,L,265,107,40,96,41.7,13,41,31.7,14,22,63.6,12,36,48,23,7,3,14,18,-4,101.9,105.7,-3.8,57.5,1.64,16.2,25.4,75.5,48.1,13.3,48.4,50.6,95.09,45.1
POR,POR vs. MIN,44542,L,240,111,37,81,45.7,18,48,37.5,19,28,67.9,12,33,45,25,9,8,19,25,-5,109.9,116,-6.1,67.6,1.32,18,31.3,66.7,49.5,18.8,56.8,59.5,100.5,49.2
POR,POR @ GSW,44538,L,240,94,33,80,41.3,8,30,26.7,20,28,71.4,7,35,42,24,5,3,16,24,-10,94,103,-9,72.7,1.5,18,17.6,71.7,45.2,16,46.3,50.9,100.5,44
POR,POR vs. LAC,44536,L,240,90,35,79,44.3,5,22,22.7,15,20,75,7,38,45,16,6,6,18,19,-12,90.9,103,-12.1,45.7,0.89,13,19.6,75,49,18.2,47.5,51.3,99,48.5
POR,POR vs. BOS,44534,L,240,117,42,89,47.2,8,29,27.6,25,32,78.1,9,23,32,22,7,2,9,21,-28,119.4,149.5,-30.1,52.4,2.44,16.4,28,64.1,43.8,9.2,51.7,56.8,97.5,38.3
POR,POR vs. SAS,44532,L,240,83,29,82,35.4,12,34,35.3,13,17,76.5,8,33,41,19,8,6,18,20,-31,83,112.9,-29.9,65.5,1.06,14.8,16.4,76,44.8,18,42.7,46.4,100.5,30.8
POR,POR vs. DET,44530,W,240,110,41,96,42.7,14,42,33.3,14,18,77.8,10,33,43,24,8,5,11,22,18,111.1,92.9,18.2,58.5,2.18,17.3,29.8,75.5,50.9,11.1,50,52.9,99,57.5
POR,POR @ UTA,44529,L,240,107,42,91,46.2,11,31,35.5,12,17,70.6,12,30,42,19,1,3,9,18,-22,112.6,135.8,-23.2,45.2,2.11,15,25.5,73.8,47.3,9.5,52.2,54.3,95,38.7
POR,POR @ GSW,44526,L,240,103,36,86,41.9,13,38,34.2,18,23,78.3,7,30,37,23,7,2,10,13,-15,103,121.6,-18.6,63.9,2.3,17,23.5,73.2,45.7,10,49.4,53.6,98.5,41.9
POR,POR @ SAC,44524,L,240,121,44,94,46.8,12,38,31.6,21,25,84,13,30,43,27,9,1,15,26,-4,118.6,123.8,-5.1,61.4,1.8,18.5,33.3,67.4,49.5,14.7,53.2,57.6,101.5,49.5
POR,POR vs. DEN,44523,W,240,119,45,88,51.1,15,39,38.5,14,20,70,12,31,43,25,12,7,9,18,19,126.6,107.5,19.1,55.6,2.78,18.8,31.1,78,53.5,9.6,59.7,61.5,93.5,56.7
POR,POR vs. PHI,44520,W,240,118,40,80,50,15,34,44.1,23,23,100,5,33,38,23,6,7,13,21,7,122.9,115.6,7.3,57.5,1.77,18.1,22.5,83.3,53.7,13.5,59.4,65.5,96,53.7
POR,POR vs. CHI,44517,W,240,112,37,84,44,11,31,35.5,27,28,96.4,12,32,44,26,10,5,17,19,5,114.3,110.3,4,70.3,1.53,18.6,38.3,75.6,56.5,17.3,50.6,58.1,97.5,54.7
POR,POR vs. TOR,44515,W,240,118,46,82,56.1,16,36,44.4,10,14,71.4,7,32,39,25,6,7,14,15,5,125.5,121.5,4,54.3,1.79,19.5,26.3,69.4,50.6,14.9,65.9,66.9,93.5,55.3
POR,POR @ DEN,44514,L,240,95,35,80,43.8,13,39,33.3,12,13,92.3,8,28,36,22,8,4,13,15,-29,103.3,136.3,-33,62.9,1.69,17.7,22.2,62.2,42.2,14.1,51.9,55.4,91.5,38.9
POR,POR @ HOU,44512,W,240,104,34,87,39.1,11,36,30.6,25,31,80.6,11,41,52,21,10,4,14,27,12,105.1,92,13.1,61.8,1.5,15.6,25.9,80.4,52.6,14.1,45.4,51.7,99.5,57.6
POR,POR @ PHX,44510,L,240,109,44,91,48.4,7,30,23.3,14,16,87.5,14,32,46,24,5,2,16,21,-10,110.1,121.4,-11.3,54.5,1.5,17.1,34.7,71.7,52.6,16.2,52.2,55.6,98.5,45.2
POR,POR @ LAC,44509,L,240,109,43,91,47.3,14,37,37.8,9,12,75,9,34,43,29,6,5,10,15,-8,113.5,120.6,-7.1,67.4,2.9,21.5,20,84.1,50,10.4,54.9,56.6,96.5,48.6
POR,POR vs. LAL,44506,W,240,105,36,95,37.9,15,55,27.3,18,24,75,12,40,52,22,14,7,12,21,15,98.1,84.1,14,61.1,1.83,15.5,21,75,47.5,11.2,45.8,49.7,107,55.6
POR,POR vs. IND,44505,W,240,110,40,82,48.8,17,39,43.6,13,15,86.7,6,36,42,27,7,4,14,15,4,114.6,110.4,4.2,67.5,1.93,20.6,18.6,78.7,50,14.6,59.1,62.1,96,52.5
POR,POR @ CLE,44503,L,240,104,40,90,44.4,13,37,35.1,11,17,64.7,10,29,39,24,12,6,9,19,-3,109.5,112.6,-3.2,60,2.67,18.2,24.1,78.4,46.2,9.5,51.7,53.3,95,45.9
POR,POR @ PHI,44501,L,240,103,40,84,47.6,12,34,35.3,11,18,61.1,13,32,45,21,5,2,15,15,-10,109.6,121.5,-11.9,52.5,1.4,16.2,34,80.5,55.7,16,54.8,56,93.5,42.1
